Timestamp,See above!
2.20.2023 13:17:45,Reproducible
2.20.2023 13:17:48,easy
2.20.2023 13:17:49,efficient
2.20.2023 13:17:55,Big data-pool
2.20.2023 13:18:02,Intuitive
2.20.2023 13:18:10,Significant 
2.20.2023 13:18:14,lots of data
2.20.2023 13:18:18,reproduceable
2.20.2023 13:18:27,Useful 
2.20.2023 13:18:45,Independent
2.20.2023 13:18:46,"Rich, good visualization, comprehensive interpretation"
2.20.2023 13:18:47,Correlation vs causality
2.20.2023 13:18:48,Precise Unbiased accessible 
2.20.2023 13:18:48,"comprehensive, objective, reliable "
2.20.2023 13:18:50,"Reliable, repeatable, informative "
2.20.2023 13:18:53,important
2.20.2023 13:18:53,Reliability
2.20.2023 13:18:54,correlation
2.20.2023 13:18:55,"reliable, unbiased and reproducible"
2.20.2023 13:18:59,significant
2.20.2023 13:19:01,reproducible
2.20.2023 13:19:01,sample size
2.20.2023 13:19:02,Comprehensive 
2.20.2023 13:19:05,Quantity
2.20.2023 13:19:05,Unbiased
2.20.2023 13:19:09,exaxt
2.20.2023 13:19:11,Many data
2.20.2023 13:19:11,"thorough, intensive, in depth"
2.20.2023 13:19:14,"Accurate, critically, informative"
2.20.2023 13:19:14,Quality
2.20.2023 13:19:14,(Correctly) highly specific hypothesis
2.20.2023 13:19:15,exact 
2.20.2023 13:19:17,tidy
2.20.2023 13:19:17,Precise
2.20.2023 13:19:20,Reproducible
2.20.2023 13:19:23,reproducible
2.20.2023 13:19:24,"samplesize, "
2.20.2023 13:19:24,thorough
2.20.2023 13:19:25,awesome
2.20.2023 13:19:25,high resolution data
2.20.2023 13:19:27,amazing
2.20.2023 13:19:27,necessary
2.20.2023 13:19:27,Randomised
2.20.2023 13:19:29,Accuracy
2.20.2023 13:19:33,precise
2.20.2023 13:19:35,fantastic
2.20.2023 13:19:35,validity
2.20.2023 13:19:35,"useful, scientific, thorough "
2.20.2023 13:19:36,"unbiased, sufficiently-large, comprehensible/widely-understandable"
2.20.2023 13:19:40,magnificant
2.20.2023 13:19:42,large sample
2.20.2023 13:19:44,"Careful, accurate, don't change / hide data"
2.20.2023 13:19:46,accurate 
2.20.2023 13:19:46,Significant
2.20.2023 13:19:46,Big sample size
2.20.2023 13:19:47,"mathematical, unbiased, extensive"
2.20.2023 13:19:47,"relevant data, high quality, meaningful output (interpretation based on broad knowledge)"
2.20.2023 13:19:47,Source
2.20.2023 13:19:49,repeatable
2.20.2023 13:19:51,"accurate, appropriate , excellent , specific"
2.20.2023 13:19:53,Objective
2.20.2023 13:19:54,crucial
2.20.2023 13:19:56,simple
2.20.2023 13:19:56,robust
2.20.2023 13:19:57,"appropriate, valid "
2.20.2023 13:19:57,"significant, representative, repeatability"
2.20.2023 13:19:59,reliable
2.20.2023 13:20:06,Sustainable
2.20.2023 13:20:06,Trustworthy 
2.20.2023 13:20:08,importance
2.20.2023 13:20:09,"Unbiased, accurate, straight-forward "
2.20.2023 13:20:09,"neutral perspective, high quantity, seeing other components"
2.20.2023 13:20:10,robust
2.20.2023 13:20:10,significant
2.20.2023 13:20:12,Truthful
2.20.2023 13:20:14,TRUE
2.20.2023 13:20:15,transparent
2.20.2023 13:20:18,Numerous
2.20.2023 13:20:19,"reproducible, reliable, robust, logical "
2.20.2023 13:20:24,"consistent, reliable, "
2.20.2023 13:20:24,many data points
2.20.2023 13:20:25,reproducible
2.20.2023 13:20:26,"simple, concise, understandable"
2.20.2023 13:20:27,"empirically correct, made from accurate data, not from wrong assumptions, objective "
2.20.2023 13:20:30,reliable
2.20.2023 13:20:30,"quantitative, statistically relevant, proof-read"
