caste,Mass,Energy
worker,47.00000001,40
worker,54.00000002,40
worker,60.99999999,40
worker,65.00000001,38.99999999
worker,70,48
worker,71,47.00000001
worker,77.00000001,51.00000001
worker,89.00000002,40
worker,91.00000004,52.00000002
worker,52.00000002,60.99999999
worker,54.00000002,66
worker,63.99999998,62.99999998
worker,69.00000003,71
worker,72,70
worker,70,91.00000004
worker,87.00000003,81.00000003
worker,92.99999999,67.99999999
worker,91.00000004,89.00000002
worker,125,104
worker,116,151
worker,131,155
lazy,80.00000003,45.99999998
lazy,93.99999997,62.99999998
lazy,136,34.99999998
lazy,110,58.00000003
lazy,110,59.99999999
lazy,117,73.99999998
lazy,129,59.99999999
lazy,156.9999999,83.00000002
lazy,193,69.00000003
lazy,172,89.99999997
lazy,162,97.00000005
lazy,148,92.99999999
lazy,131,101
lazy,123,89.00000002
