fitness,body.size
4,6.373546189
3,7.183643324
2,6.164371388
14,8.595280802
5,7.329507772
2,6.179531616
2,7.487429052
5,7.738324705
8,7.575781352
4,6.694611613
12,8.511781168
6,7.389843236
3,6.378759419
2,4.785300113
3,8.124930918
0,6.955066391
5,6.983809737
3,7.943836211
5,7.821221195
6,7.593901321
12,7.918977372
5,7.782136301
4,7.074564983
1,5.010648304
6,7.619825748
4,6.94387126
4,6.844204493
1,5.529247616
2,6.521849945
5,7.41794156
6,8.358679552
1,6.897212273
1,7.387671612
5,6.946194959
5,5.622940443
4,6.585005437
4,6.605710046
4,6.940686603
11,8.100025372
5,7.763175748
5,6.835476404
4,6.74663832
3,7.696963375
3,7.556663199
4,6.311244305
3,6.292504843
3,7.364581962
7,7.768532925
2,6.887653788
8,7.881107726
