"Sex","Length_mm","Diameter_mm","Height_mm","Whole_weight_g","Shuck_weight_g","Viscera_weight_g","Shell_weight_g","Rings"
"M",0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185,9
"I",0.39,0.29,0.1,0.2225,0.095,0.0465,0.073,7
"M",0.37,0.29,0.09,0.241,0.11,0.045,0.069,10
"F",0.65,0.505,0.175,1.2075,0.5105,0.262,0.39,10
"F",0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,9
"I",0.4,0.315,0.1,0.3225,0.143,0.0735,0.091,6
"M",0.505,0.39,0.105,0.6555,0.2595,0.18,0.19,11
"F",0.525,0.415,0.15,0.7055,0.329,0.147,0.199,10
"F",0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,13
"M",0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,10
"F",0.595,0.48,0.15,1.11,0.498,0.228,0.33,10
"M",0.51,0.39,0.125,0.6565,0.262,0.1835,0.175,10
"F",0.72,0.565,0.17,1.613,0.723,0.3255,0.4945,12
"I",0.53,0.42,0.13,0.8365,0.3745,0.167,0.249,11
"F",0.665,0.53,0.185,1.3955,0.456,0.3205,0.49,15
"F",0.565,0.44,0.135,0.83,0.393,0.1735,0.238,9
"M",0.535,0.405,0.175,1.2705,0.548,0.3265,0.337,13
"M",0.55,0.42,0.145,0.7385,0.321,0.1485,0.252,11
"I",0.5,0.4,0.12,0.616,0.261,0.143,0.1935,8
"M",0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,13
"I",0.41,0.33,0.105,0.335,0.1525,0.074,0.11,7
"M",0.655,0.52,0.165,1.4095,0.586,0.291,0.405,9
"M",0.725,0.55,0.2,1.51,0.8735,0.4265,0.5085,9
"F",0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,5
"M",0.71,0.555,0.195,1.9485,0.9455,0.3765,0.495,12
"I",0.54,0.43,0.14,0.8195,0.3935,0.1725,0.2295,9
"F",0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8
"I",0.515,0.35,0.105,0.4745,0.213,0.123,0.1275,10
"M",0.545,0.43,0.155,0.8035,0.409,0.144,0.228,7
"F",0.67,0.53,0.225,1.5615,0.63,0.487,0.3725,11
"I",0.35,0.25,0.07,0.1605,0.0715,0.0335,0.046,6
"I",0.355,0.26,0.09,0.1925,0.077,0.038,0.065,8
"I",0.405,0.31,0.09,0.312,0.138,0.06,0.087,8
"I",0.485,0.375,0.14,0.521,0.2,0.123,0.17,8
"M",0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235,13
"I",0.56,0.435,0.135,0.72,0.329,0.103,0.251,11
"F",0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,15
"M",0.565,0.435,0.185,0.9815,0.329,0.136,0.39,13
"M",0.61,0.485,0.17,1.281,0.597,0.3035,0.33,9
"F",0.635,0.49,0.175,1.2435,0.5805,0.313,0.305,10
"M",0.605,0.475,0.16,1.616,0.5495,0.332,0.34,18
"F",0.605,0.48,0.15,1.079,0.4505,0.2835,0.293,10
"M",0.635,0.51,0.155,1.156,0.428,0.289,0.315,18
"F",0.5,0.395,0.15,0.7145,0.3235,0.173,0.195,9
"F",0.49,0.37,0.14,0.585,0.243,0.115,0.195,10
"F",0.645,0.52,0.19,1.3105,0.58,0.288,0.37,12
"M",0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9
"M",0.675,0.515,0.15,1.312,0.556,0.2845,0.4115,11
"I",0.47,0.375,0.125,0.5225,0.2265,0.104,0.162,8
"F",0.72,0.565,0.18,1.719,0.8465,0.407,0.3875,11
"F",0.675,0.51,0.185,1.473,0.6295,0.3025,0.4245,11
"I",0.53,0.405,0.13,0.6615,0.2945,0.1395,0.19,9
"M",0.635,0.495,0.195,1.172,0.445,0.3115,0.3475,11
"F",0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,8
"F",0.565,0.505,0.21,1.2765,0.501,0.279,0.355,12
"M",0.57,0.44,0.095,0.827,0.3395,0.2215,0.235,8
"F",0.535,0.41,0.13,0.7145,0.335,0.144,0.2075,9
"F",0.56,0.425,0.125,0.932,0.361,0.213,0.335,9
"I",0.4,0.305,0.1,0.3415,0.176,0.0625,0.0865,7
"F",0.61,0.485,0.18,1.2795,0.5735,0.2855,0.355,7
"I",0.525,0.4,0.14,0.6055,0.2605,0.108,0.21,9
"M",0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10
"M",0.565,0.415,0.125,0.667,0.302,0.1545,0.185,7
"M",0.61,0.48,0.17,1.137,0.4565,0.29,0.347,10
"F",0.615,0.475,0.17,1.055,0.543,0.246,0.2345,9
"I",0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,7
"M",0.665,0.515,0.2,1.2695,0.5115,0.2675,0.436,12
"F",0.7,0.54,0.215,1.978,0.6675,0.3125,0.71,24
"F",0.525,0.42,0.16,0.756,0.2745,0.173,0.275,9
"M",0.66,0.515,0.2,1.6465,0.749,0.422,0.401,11
"M",0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,10
"I",0.5,0.385,0.11,0.596,0.3015,0.104,0.151,8
"F",0.725,0.6,0.2,1.737,0.697,0.3585,0.595,11
"F",0.615,0.475,0.155,1.004,0.4475,0.193,0.2895,10
"F",0.64,0.485,0.185,1.4195,0.6735,0.3465,0.3255,11
"M",0.545,0.41,0.14,0.737,0.349,0.15,0.212,9
"I",0.475,0.355,0.125,0.4865,0.2155,0.1105,0.142,9
"I",0.53,0.4,0.145,0.555,0.1935,0.1305,0.195,9
"F",0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6
"F",0.475,0.4,0.115,0.541,0.186,0.1025,0.21,13
"M",0.515,0.35,0.155,0.9225,0.4185,0.198,0.273,9
"I",0.6,0.445,0.135,0.9205,0.445,0.2035,0.253,9
"F",0.575,0.465,0.195,0.9965,0.417,0.247,0.47,8
"M",0.57,0.435,0.17,0.873,0.382,0.183,0.2705,10
"F",0.55,0.43,0.15,0.655,0.2635,0.122,0.221,8
"I",0.415,0.32,0.11,0.3735,0.175,0.0755,0.109,7
"F",0.58,0.45,0.15,0.92,0.393,0.212,0.2895,9
"F",0.605,0.485,0.165,1.0105,0.435,0.209,0.3,19
"M",0.595,0.455,0.15,1.044,0.518,0.2205,0.27,9
"I",0.495,0.39,0.125,0.6655,0.284,0.162,0.2,11
"M",0.535,0.435,0.14,0.874,0.3735,0.229,0.2195,8
"M",0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17
"F",0.705,0.56,0.205,2.381,0.9915,0.5005,0.624,10
"F",0.6,0.475,0.17,1.088,0.4905,0.2475,0.31,10
"F",0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,7
"F",0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7
"I",0.505,0.4,0.145,0.7045,0.334,0.1425,0.207,8
"I",0.61,0.465,0.125,0.9225,0.436,0.19,0.26,9
"F",0.45,0.325,0.135,0.438,0.1805,0.1165,0.11,9
"M",0.425,0.325,0.12,0.3755,0.142,0.1065,0.105,9
"M",0.59,0.47,0.15,0.861,0.413,0.164,0.249,8
"I",0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855,8
"I",0.5,0.38,0.125,0.519,0.2485,0.1135,0.134,8
"F",0.58,0.425,0.155,0.873,0.3615,0.249,0.239,10
"M",0.525,0.425,0.125,0.812,0.4035,0.1705,0.195,8
"F",0.615,0.52,0.15,1.3435,0.629,0.2605,0.345,10
"M",0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,3
"F",0.635,0.505,0.155,1.2895,0.594,0.314,0.345,11
"M",0.53,0.425,0.13,0.702,0.2975,0.1395,0.22,9
"F",0.465,0.38,0.135,0.579,0.208,0.1095,0.22,14
"I",0.385,0.285,0.09,0.248,0.0935,0.066,0.07,6
"I",0.32,0.215,0.095,0.305,0.14,0.067,0.0885,6
