Gattung,Nummer,Gewicht,Fangdatum,Magenumf
Oc,32,0.19,23.09.97,1.56
Oc,34,0.59,23.09.97,1.63
Oc,48,0.09,23.09.97,1.69
Oc,55,0.23,23.09.97,1.69
Oc,41,0.24,23.09.97,1.75
Oc,24,0.19,23.09.97,1.81
Oc,39,0.26,23.09.97,1.81
Oc,35,0.19,23.09.97,1.88
Oc,45,0.15,23.09.97,2
Oc,27,0.34,23.09.97,2.13
Oc,33,0.27,23.09.97,2.13
Oc,7,0.22,15.09.97,2.19
Oc,52,0.24,23.09.97,2.19
Oc,10,0.15,15.09.97,2.31
Oc,5,0.22,15.09.97,2.44
Oc,51,0.41,23.09.97,2.44
Oc,31,0.48,23.09.97,2.56
Oc,36,0.66,23.09.97,2.63
Oc,11,0.41,15.09.97,2.81
Oc,4,0.52,15.09.97,3
Oc,56,1.09,12.10.97,3.1
Oc,28,1.1,23.09.97,3.13
Oc,43,0.57,23.09.97,3.13
Oc,2,1.02,15.09.97,3.19
Oc,3,0.82,15.09.97,3.19
Oc,9,1.8,15.09.97,3.19
Oc,38,0.96,23.09.97,3.19
Oc,30,1.71,23.09.97,3.31
Oc,6,0.9,15.09.97,3.38
Oc,16,1.23,15.09.97,3.44
Oc,18,1,15.09.97,3.44
Oc,60,1.62,12.10.97,3.75
Oc,12,1.1,15.09.97,3.75
Oc,17,1.4,15.09.97,3.75
Oc,1,1.2,15.09.97,3.88
Oc,58,1.61,12.10.97,4.15
Oc,19,1.46,15.09.97,4.19
Oc,20,1.06,15.09.97,4.19
Oc,57,1.74,12.10.97,4.4
Oc,29,2.48,23.09.97,4.44
Oc,15,0.92,15.09.97,4.56
Oc,37,2.06,23.09.97,4.88
Oc,59,2.53,12.10.97,5.25
L,26,0.41,23.09.97,2.55
L,46,0.39,23.09.97,2.65
L,59,1.24,12.10.97,3.15
L,41,0.57,23.09.97,3.2
L,44,0.71,23.09.97,3.25
L,45,0.42,23.09.97,3.1
L,48,1.57,12.10.97,3.35
L,52,1.32,12.10.97,3.35
L,60,2.4,12.10.97,3.55
L,23,0.5,15.09.97,3.45
L,21,2.63,15.09.97,3.7
L,36,0.69,23.09.97,3.35
L,37,0.81,23.09.97,4
L,43,0.65,23.09.97,3.6
L,56,2.26,12.10.97,3.75
L,6,1.1,15.09.97,3.8
L,50,2.28,12.10.97,4.1
L,29,1.82,23.09.97,4
L,32,1.68,23.09.97,4.05
L,39,2.21,23.09.97,4.4
L,51,3.13,12.10.97,4.1
L,33,1.6,23.09.97,4.35
L,4,3.07,15.09.97,4.55
L,42,0.42,23.09.97,4.8
L,54,3.44,12.10.97,4.6
L,13,1.89,15.09.97,4.8
L,22,2.77,15.09.97,4.6
L,25,1.42,23.09.97,4.65
L,24,3.05,23.09.97,4.8
L,38,3.18,23.09.97,5.1
L,3,3.22,15.09.97,5.2
L,5,3.57,15.09.97,5.05
L,11,2.08,15.09.97,5.35
L,27,3.35,23.09.97,5.15
L,58,4.94,12.10.97,5.2
L,8,4.51,15.09.97,5.45
L,35,4.55,23.09.97,5.15
L,14,3.33,15.09.97,5.35
L,20,5.21,15.09.97,5.5
L,40,3.24,23.09.97,5.4
L,15,4.87,15.09.97,5.45
L,34,3.94,23.09.97,5.6
L,10,3.42,15.09.97,5.85
L,16,3.16,15.09.97,5.7
L,7,6.95,15.09.97,5.85
L,1,2.99,15.09.97,5.85
L,9,5.22,15.09.97,6.05
L,12,4.64,15.09.97,6.35
L,17,6.46,15.09.97,6.3
L,28,5.98,23.09.97,6.3
L,53,8.69,12.10.97,7.5
N,48,0.06,23.09.97,1.9
N,8,0.065,15.09.97,2.8
N,47,0.125,23.09.97,2.5
N,25,0.155,15.09.97,2.9
N,10,0.16,15.09.97,2.6
N,5,0.17,15.09.97,3.3
N,42,0.19,23.09.97,2.6
N,36,0.3,23.09.97,2.9
N,9,0.37,15.09.97,2.9
N,50,0.405,23.09.97,3.1
N,34,0.56,23.09.97,3.1
N,32,0.56,23.09.97,3.8
N,37,0.625,23.09.97,3
N,33,0.63,23.09.97,3.9
N,51,0.635,23.09.97,3.6
N,40,0.645,23.09.97,3.4
N,55,0.645,23.09.97,3.4
N,52,0.645,23.09.97,4.1
N,35,0.65,23.09.97,4.3
N,23,0.67,15.09.97,3.6
N,29,0.685,23.09.97,3.1
N,24,0.77,15.09.97,4.2
N,38,0.785,23.09.97,4
N,21,0.815,15.09.97,3.6
N,31,0.835,23.09.97,3.6
N,28,0.84,23.09.97,4.7
N,43,0.855,23.09.97,3.8
N,27,0.855,23.09.97,4.8
N,13,0.855,15.09.97,3.7
N,12,0.87,15.09.97,4.4
N,54,0.9,23.09.97,4.5
N,15,0.91,15.09.97,4.25
N,44,0.91,23.09.97,4
N,18,0.94,15.09.97,4.6
N,45,1.015,23.09.97,4.25
N,20,1.045,15.09.97,4.25
N,7,1.075,15.09.97,4.25
N,11,1.115,15.09.97,2.6
N,22,1.155,15.09.97,4.3
N,14,1.185,15.09.97,4.1
N,26,1.265,23.09.97,4.3
N,57,1.31,12.10.97,3.1
N,41,1.31,23.09.97,4.5
N,46,1.33,23.09.97,4.8
N,63,1.335,12.10.97,3.65
N,60,1.455,12.10.97,4.6
N,61,1.47,12.10.97,3.05
N,56,1.625,12.10.97,3.45
N,59,1.765,12.10.97,4
