"","product","logdose","n","dead"
"1","A",-5,9,0
"2","A",-4.5,10,0
"3","A",-4,12,0
"4","A",-3.5,14,0
"5","A",-3,9,1
"6","A",-2.5,14,0
"7","A",-2,14,3
"8","A",-1.5,12,2
"9","A",-1,12,5
"10","A",-0.5,8,3
"11","A",0,9,6
"12","A",0.5,9,6
"13","A",1,12,8
"14","A",1.5,10,8
"15","A",2,13,12
"16","A",2.5,11,10
"17","A",3,13,11
"18","A",3.5,14,14
"19","A",4,10,10
"20","A",4.5,13,13
"21","A",5,14,14
"22","B",-5,9,1
"23","B",-4.5,12,0
"24","B",-4,8,2
"25","B",-3.5,9,0
"26","B",-3,10,2
"27","B",-2.5,8,1
"28","B",-2,10,3
"29","B",-1.5,14,3
"30","B",-1,10,5
"31","B",-0.5,11,5
"32","B",0,12,7
"33","B",0.5,11,7
"34","B",1,9,7
"35","B",1.5,13,11
"36","B",2,12,9
"37","B",2.5,13,12
"38","B",3,8,7
"39","B",3.5,13,13
"40","B",4,10,10
"41","B",4.5,13,10
"42","B",5,12,12
"43","C",-5,13,0
"44","C",-4.5,11,0
"45","C",-4,11,0
"46","C",-3.5,13,1
"47","C",-3,8,0
"48","C",-2.5,11,3
"49","C",-2,13,2
"50","C",-1.5,12,2
"51","C",-1,11,3
"52","C",-0.5,14,4
"53","C",0,11,10
"54","C",0.5,9,6
"55","C",1,8,8
"56","C",1.5,8,7
"57","C",2,10,9
"58","C",2.5,11,8
"59","C",3,12,12
"60","C",3.5,10,10
"61","C",4,14,14
"62","C",4.5,10,10
"63","C",5,11,11
