FNETID,pres,Year,datatype,BCAlbX,BCAlbY,BEC,Elevation,Aspect,Slope,CTI,Rugg9,Tave_sm,MSP,PAS
41621,1,2005,PUB,927826.612,594591.027,MH,1257,-0.06487783,23.13306808,10.06079769,0.052813966,10.7,1517,2500
62732,0,2006,NA,958976.612,593541.027,MH,1312,0.560107887,25.17882729,9.546782494,0.090503082,10.1,245,1223
77110,0,2003,NA,940776.612,592841.027,MH,1002,0.625362158,26.14972687,9.921707153,0.027273014,11.6,659,1307
81295,0,1998,NA,943276.612,592641.027,MH,911,-0.226319954,36.81855392,9.499886513,0.020287031,12.5,357,797
81300,0,1996,NA,943776.612,592641.027,MH,1118,-0.848368824,8.366830826,10.89328289,0.114535861,10.4,450,1546
83526,0,1997,NA,958376.612,592541.027,MH,978,-0.777914047,21.09432602,9.949398994,0.032729536,12,678,1342
93782,0,1999,NA,943976.612,592041.027,MH,1184,-0.100245804,23.12828255,10.88680935,0.084386662,10.1,494,2366
109012,1,1998,FS,1010943.31,591305.56,AT,1458,-0.231398627,16.94585228,11.09192085,0.074225344,11.9,370,1532
110421,0,1998,NA,943876.612,591241.027,MH,1211,0.936372757,14.88665676,10.53523636,0.068687156,11,361,1371
111094,1,1997,FS,1011204.95,591267.09,AT,1461,-0.818093598,21.89700508,11.50809288,0.081670031,11,758,2445
112617,0,1995,NA,955476.612,591141.027,AT,1463,-0.996701241,8.204902649,9.945706367,0.143523797,9.2,395,1907
113174,1,1998,FS,1011187.61,591102.21,AT,1508,0,2.064934254,10.29276943,0.104071438,11.6,369,1608
152149,0,1996,NA,956676.612,589241.027,MH,1239,-0.950270176,34.39770508,10.43988132,0.074342892,10.1,413,1455
152229,0,1997,NA,964676.612,589241.027,MH,1135,-0.654227853,25.81620026,9.145590782,0.077941798,11.2,679,1360
154242,0,1998,NA,957976.612,589141.027,MH,675,-0.423992783,25.00351524,14.00482559,0.025069155,13.8,293,339
162405,0,1997,NA,942276.612,588741.027,MH,913,0,4.851137638,11.67695808,0.01300727,12.3,909,1852
163115,0,2002,NA,1013276.612,588741.027,MH,1036,-0.286357045,38.5349884,12.38238811,0.028976629,12,406,948
168792,1,2008,PUB,957025.0849,588414.9378,AT,1515,-0.566933334,23.59912109,11.43817425,0.170459703,8,418,1844
169001,0,2004,NA,977876.612,588441.027,MH,1220,0.964615047,26.14796448,9.972397804,0.022902783,11.9,599,666
179031,0,2005,NA,940876.612,587941.027,MH,900,0,0.405135602,16.1180954,0.00199325,12.1,795,1058
189431,0,2005,NA,940876.612,587441.027,MH,893,0.875054002,6.606891632,11.95530415,0.010149544,12.2,770,988
191607,0,2002,NA,950476.612,587341.027,MH,1048,-0.584773779,20.33211517,11.72536182,0.024301223,11.2,416,1212
198199,0,1999,NA,985676.612,587041.027,MH,1267,-0.669984877,16.27908134,12.40061474,0.029831592,10.6,379,1111
220728,0,1998,NA,950576.612,585941.027,MH,962,0.506186664,38.67815399,10.8191185,0.014839926,12.3,311,748
220733,0,1999,NA,951076.612,585941.027,MH,1150,0.582925022,35.36301041,10.93955612,0.023026455,10.3,433,1867
235427,0,1997,NA,964476.612,585241.027,MH,1097,0.850090742,39.55236816,11.33579826,0.041730057,11.4,691,1530
243955,0,1996,NA,985276.612,584841.027,MH,1207,0.174091339,23.58086967,10.73247051,0.038169295,10.9,357,796
245759,0,1995,NA,957676.612,584741.027,MH,1177,0.716900587,13.13612461,10.66545963,0.046399247,10.3,373,1315
246087,0,2003,NA,990476.612,584741.027,MH,900,0.065085553,33.32672501,14.18607521,0.048590485,12.2,401,356
247779,0,1998,NA,951676.612,584641.027,MH,1023,0.174479768,10.2850399,11.16572475,0.008820805,11.9,314,812
252197,0,1999,NA,977476.612,584441.027,MH,758,-0.655292094,21.29641533,12.24176311,0.018483574,12.3,367,592
260321,0,1995,NA,957876.612,584041.027,MH,1000,0.555764556,8.304020882,12.75251007,0.033402901,11.3,366,996
268709,0,1996,NA,964676.612,583641.027,MH,1045,0.917475402,20.89587402,10.17324734,0.005299886,11,396,1009
268950,0,1996,NA,988776.612,583641.027,MH,986,-0.428779304,31.38415337,9.704595566,0.071722716,11.7,373,601
272936,0,1997,NA,971376.612,583441.027,MH,1067,-0.404906034,22.05402374,11.09105492,0.017024947,11.8,655,1120
276983,0,1997,NA,960076.612,583241.027,MH,1036,0,4.163849831,10.57081032,0.077947356,11.7,656,1404
277294,0,2004,NA,991176.612,583241.027,MH,1066,0.530887365,14.05914021,9.648238182,0.027882895,12.5,576,497
304145,0,1998,NA,972276.612,581941.027,MH,1110,0.828160226,15.29884052,11.66104126,0.010855498,12.1,303,674
314532,0,1995,NA,970976.612,581441.027,MH,813,0.156658947,17.94624138,11.7240057,0.005718749,12.5,357,552
331228,0,1995,NA,976576.612,580641.027,AT,1498,0.819958925,25.70152664,9.801922798,0.101303756,9.6,382,1226
337360,0,1996,NA,965776.612,580341.027,MH,740,0,4.653280735,12.31744671,0.038134634,12.7,369,529
339544,1,1997,PUB,976185.588,580236.302,AT,1531,-0.846253157,19.11052704,11.36886024,0.096502237,10,689,1773
343712,0,1998,NA,976976.612,580041.027,MH,1178,-0.158373863,36.98597717,10.29717922,0.073633075,11.9,295,700
356182,1,1997,FS,976000.93,579465.41,AT,1542,0.204519451,17.24265671,10.83819675,0.091205835,10,696,1846
360343,1,1997,PUB,976102.53,579253.535,AT,1557,-0.860429764,21.42051697,10.51759624,0.06334319,9.9,697,1871
366582,1,1998,PUB,976001.123,578972.1,AT,1588,0.021982398,10.82910728,9.907091141,0.062550955,10.2,316,1183
370749,1,1997,FS,976632.51,578755.1,AT,1512,0.827583313,24.47612762,11.94321537,0.076622389,10.1,688,1817
377045,0,1996,NA,982276.612,578441.027,MH,1262,0,2.363194704,13.49659538,0.075744249,10.6,373,899
