"isocode","isonum","country","rugged","rugged_popw","rugged_slope","rugged_lsd","rugged_pc","land_area","lat","lon","soil","desert","tropical","dist_coast","near_coast","gemstones","rgdppc_2000","rgdppc_1950_m","rgdppc_1975_m","rgdppc_2000_m","rgdppc_1950_2000_m","q_rule_law","cont_africa","cont_asia","cont_europe","cont_oceania","cont_north_america","cont_south_america","legor_gbr","legor_fra","legor_soc","legor_deu","legor_sca","colony_esp","colony_gbr","colony_fra","colony_prt","colony_oeu","africa_region_n","africa_region_s","africa_region_w","africa_region_e","africa_region_c","slave_exports","dist_slavemkt_atlantic","dist_slavemkt_indian","dist_slavemkt_saharan","dist_slavemkt_redsea","pop_1400","european_descent"
"ABW",533,"Aruba",0.462,0.38,1.226,0.144,0,18,12.508,-69.97,21.324,0,100,0.001,100,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,614,NA
"AFG",4,"Afghanistan",2.518,1.469,7.414,0.72,39.004,65209,33.833,66.026,27.849,4.356,0,0.922,0,0,NA,644.756,720.633,565.231,679.791,-1.687,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1870829,0
"AGO",24,"Angola",0.858,0.714,2.274,0.228,4.906,124670,-12.299,17.551,26.676,0.425,44.346,0.428,13.1587,47756,1794.729,1051.822,1073.036,765.215,1106.763,-1.567,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3610000,5.669,6.981,4.926,3.872,1223208,2
"AIA",660,"Anguilla",0.013,0.01,0.026,0.006,0,9,18.231,-63.064,100,0,100,0,100,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"ALB",8,"Albania",3.427,1.597,10.451,1.006,62.133,2740,41.143,20.07,68.088,0,0,0.048,94.6919,0,3703.113,1001.339,2289.472,2741.42,1931.784,-0.82,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,200000,100
"AND",20,"Andorra",5.717,6.722,17.774,1.616,99.064,47,42.551,1.576,0,0,0,0.134,0,0,NA,NA,NA,NA,NA,1.515,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"ANT",530,"Netherlands Antilles",0.255,0.039,0.68,0.08,0,80,12.725,-68.157,24.595,0,74.555,0.001,100,0,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1802,NA
"ARE",784,"United Arab Emirates",0.769,0.316,2.112,0.191,6.142,8360,23.913,54.331,0,77.28,0,0.065,75.7464,0,20604.46,15797.558,25465.002,17567.883,20119.992,0.913,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,19200,0
"ARG",32,"Argentina",0.775,0.22,2.268,0.226,9.407,273669,-35.396,-65.17,35.678,0,0,0.352,13.0167,0,12173.68,4986.725,8122.497,8543.558,6926.81,0.033,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,276632,89.889
"ARM",51,"Armenia",2.688,0.934,8.178,0.799,50.556,2820,40.294,44.938,30.148,0,0,0.348,0,0,2421.985,NA,NA,4565.035,NA,-0.453,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,105743,0.5
"ASM",16,"American Samoa",2.647,1.63,7.032,0.792,44.303,20,-14.2,-170.388,100,0,100,0,100,0,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
