y x1 x2 x3 x4
1 0 3 4 0 0.6
2 0 3 4 0 0.8
3 0 3 4 0 1
4 99 3 4 1 0.6
5 0 3 4 1 0.8
6 0 3 4 1 1
7 70 4 4 0 0.6
8 0 4 4 0 0.8
9 0 4 4 0 1
10 74 4 4 1 0.6
11 30 4 4 1 0.8
12 20 4 4 1 1
13 30 3 5 0 0.6
14 43 3 5 0 0.8
15 43 3 5 0 1
16 80 3 5 1 0.6
17 49 3 5 1 0.8
18 55 3 5 1 1
19 72 4 5 0 0.6
20 74 4 5 0 0.8
21 36 4 5 0 1
22 55 4 5 1 0.6
23 44 4 5 1 0.8
24 45 4 5 1 1
25 35 5 5 0 0.6
26 48 5 5 0 0.8
27 26 5 5 0 1
28 55 5 5 1 0.6
29 27 5 5 1 0.8
30 25 5 5 1 1
31 98 3 6 0 0.6
32 78 3 6 0 0.8
33 110 3 6 0 1
34 75 3 6 1 0.6
35 99 3 6 1 0.8
36 105 3 6 1 1
37 102 4 6 0 0.6
38 102 4 6 0 0.8
39 76 4 6 0 1
40 80 4 6 1 0.6
41 69 4 6 1 0.8
42 69 4 6 1 1
43 60 5 6 0 0.6
44 62 5 6 0 0.8
45 60 5 6 0 1
46 78 5 6 1 0.6
47 60 5 6 1 0.8
48 85 5 6 1 1
49 52 6 6 0 0.6
50 25 6 6 0 0.8
51 23 6 6 0 1
52 44 6 6 1 0.6
53 45 6 6 1 0.8
54 20 6 6 1 1
55 80 3 7 0 0.6
56 98 3 7 0 0.8
57 115 3 7 0 1
58 90 3 7 1 0.6
59 100 3 7 1 0.8
60 76 3 7 1 1
61 95 4 7 0 0.6
62 85 4 7 0 0.8
63 105 4 7 0 1
64 95 4 7 1 0.6
65 98 4 7 1 0.8
66 60 4 7 1 1
67 73 5 7 0 0.6
68 82 5 7 0 0.8
69 95 5 7 0 1
70 81 5 7 1 0.6
71 83 5 7 1 0.8
72 80 5 7 1 1
73 95 6 7 0 0.6
74 49 6 7 0 0.8
75 38 6 7 0 1
76 73 6 7 1 0.6
77 75 6 7 1 0.8
78 58 6 7 1 1
79 43 7 7 0 0.6
80 49 7 7 0 0.8
81 51 7 7 0 1
82 74 7 7 1 0.6
83 55 7 7 1 0.8
84 56 7 7 1 1
85 101 3 8 0 0.6
86 95 3 8 0 0.8
87 130 3 8 0 1
88 130 3 8 1 0.6
89 120 3 8 1 0.8
90 125 3 8 1 1
91 107 4 8 0 0.6
92 95 4 8 0 0.8
93 107 4 8 0 1
94 105 4 8 1 0.6
95 101 4 8 1 0.8
96 105 4 8 1 1
97 100 5 8 0 0.6
98 98 5 8 0 0.8
99 108 5 8 0 1
100 110 5 8 1 0.6
101 117 5 8 1 0.8
102 105 5 8 1 1
103 80 6 8 0 0.6
104 110 6 8 0 0.8
105 110 6 8 0 1
106 102 6 8 1 0.6
107 95 6 8 1 0.8
108 80 6 8 1 1
109 83 7 8 0 0.6
110 98 7 8 0 0.8
111 83 7 8 0 1
112 70 7 8 1 0.6
113 102 7 8 1 0.8
114 105 7 8 1 1
115 57 8 8 0 0.6
116 70 8 8 0 0.8
117 70 8 8 0 1
118 55 8 8 1 0.6
119 46 8 8 1 0.8
120 47 8 8 1 1
121 120 3 9 0 0.6
122 120 3 9 0 0.8
123 118 3 9 0 1
124 105 3 9 1 0.6
125 108 3 9 1 0.8
126 105 3 9 1 1
127 103 4 9 0 0.6
128 103 4 9 0 0.8
129 101 4 9 0 1
130 100 4 9 1 0.6
131 100 4 9 1 0.8
132 100 4 9 1 1
133 101 5 9 0 0.6
134 101 5 9 0 0.8
135 101 5 9 0 1
136 105 5 9 1 0.6
137 101 5 9 1 0.8
138 108 5 9 1 1
139 105 6 9 0 0.6
140 100 6 9 0 0.8
141 105 6 9 0 1
142 105 6 9 1 0.6
143 99 6 9 1 0.8
144 105 6 9 1 1
145 98 7 9 0 0.6
146 100 7 9 0 0.8
147 98 7 9 0 1
148 105 7 9 1 0.6
149 97 7 9 1 0.8
150 99 7 9 1 1
151 102 8 9 0 0.6
152 100 8 9 0 0.8
153 100 8 9 0 1
154 98 8 9 1 0.6
155 100 8 9 1 0.8
156 96 8 9 1 1
