code	name	koord						datum							ubre	ubli	uverre	vertypre	uverli	vertypli	ugefaere	ugefaeli	baumre	buschre	wiesere	waldre	pflre	erdere		wurzelre	bewverre		baumli	buschli	wieseli	waldli	pflli	erdeli		wurzelli		bewverli	tiefe	sicht	bgefaell	wstand	schatten	bbreite	bvar	ssteinkl	ssteinmi	ssteingr	sschlamm	swurzeln	ssand	swpfl	spflrest	sver	durchg		verstdic	vtbw	vtsteimi	vtsteikl	vtueberu	vtwurz	vtwpfl	vtpflmat	wtemp	ph	leitf	o2gehalt	o2saett	v	ephemero															szeit	sdauer	sstrecke	sucher	art	anzm	anzw	anzunbes	bem	exuvtot	anztotal
Code	Name	Koordinaten	Abschn.länge		Wetter Heute	Wetter Vortag	Wetter Nacht	Datum					Zeit		b re(m)	b li(m)	Verb.  re (m)	Verbauungstyp re	Verb. li (m)	Verbauungstyp li	Gefälle re	Gefälle li	Bewuchs re (%)										Bewuchs li (%)										Tiefe(m)	Sicht	Gefälle	H2O-St.	Schatten(%)	b(m)	bVar.	Substrat(%)									Durchg.		Verst.dichte	Verst.typ(%)							Wtemp.(°C)	pH-Wert	L.(µS/cm)	O2-G.(mg/l)	O2-S.(%)	v(m/s)	Ephemeroptera	andere Tiere								Pflanzen						Szeit 	Sdauer(min)	Sstrecke(m)	Anz. Sucher	Art	Anz. m	Anz. w	Anz. unbest.		"Exuvie;tot"	
																							Bäume	Gebüsch	 Wiese / LW	Wald	Uferpfl.	Erde	Steine	Wurzeln	Verbau	anderes	Bäume	Gebüsch	 Wiese / LW	Wald	Uferpfl.	Erde	Steine	Wurzeln	Steine	Verbau								St. kl.	St.  mi.	St. gr.	Schlamm	Wurzeln	Sand	Wasserpfl.	Pfl.reste	(Verb.)				BW	St. mi	Steine kl.	ü. Ufer	Wurzeln	Wasserpfl.	Pfl.material								Bachflohk.	Trichopt.	Forellen kl.	Forellen gr.	Groppen	Egli kl.	Egli gr.	anderes	Bachbunge	Algen	Quellmoos	Schilf	andere	keine											
1A	Obach	607 200 / 228 175			sonnig, kl. Gewitter	sonnig, windig, leicht bew.	trocken	10.7.1997							A	0.5	A	A	100	Betonmauer	A	5	A	A	A		A	A	A	A	A		10	5	50		0	0		0		35	A	1	1	5	5	A	A	0	0	40	50	0	0	0	0	10	A		5	100	0		0	0		0	16.1	8.1	321	9.5	102	Rückstau		***	*	**					1 Grundel						x	24	5	3	2	0	0	0	0	mit Kescher etwas zu erreichen versucht		0
1C	Obach	606 750 / 228 400			sonnig, kl. Gewitter	sonnig, windig, leicht bew.	trocken	10.7.1997							0.5	0.5	30	Mauer	10	Mauer	5	5	40	10	40		0	0		0	10		40	10	40		0	0		0		10	0.3	3	1	3	80	2	1	20	10	0	30	5	10	2	15	3	3 (150m)		3.5	50	0		0	0		50	11.2	8.2	408	10.4	98	0.16		***		*						x						22.1	20	60	2	0	0	0	0			0
3C	Brunngraben	606 140 / 227 310			gewittrig, sonnig-schwül 60-80% W.	?	Regen Gewitter	17.7.1997							2	2	0	0	0	0	5	5	40	5	5		0	50		0	0		45	5	25		0	25		0		0	0.4	1	1	3	100	2	1	0	0	0	50	0	0	0	50	0	1		1	100	0		0	0		0	19.2	7	667	7.6	87	stehend									Rückenschwimmer *						x	23.35	10	20	2	0	0	0	0	s. wenig Tiere sichtbar		0
6C	Bülletsbach	604 200 / 228 550			"Regen m. Aufh.;38A"	"2 Gewitter, schwül;38A"	"Regen;38 A"	"25.7. ;15.11. 1997"							1.5	1	0	0	0	0	4	5	0	40	60		0	0		0	0		20	60	20		0	0		0		0	0.2	3	2	3	30	2.5	2	10	50	0	25	0	0	5	10	0	5		4	0	60		10	0		30	15.1	8.1	454	11.2	118	0.08	13.10.			**		*			10-15 Fische Tellerschn.	x	x					"23;23.1"	"20;5"	"20;3"	"2;1"	0	0	0	0	"weiter oben 80 cm Schwelle und breiter Rohrzufluss / = 2. Mal; Groppe 7cm Steine gedreht"		0
11C	Witibach	598 700 / 225 800			Hochnebel 100 % W., kalt	?	trocken	18.10.1997							0.5	0.5	100	BW schräg gem.	100	BW schräg gem.	4	4	0	0	90		0	0		0	10		0	0	90		0	0		0		10	0.3	2	2	3	20	3	3	30	10	30	0	0	30	20	10	0	2		4	70	0		0	0		30	10.8	?	383	11.5	109	0.21		***		***						x		x				21.5	15	30	2	0	0	0	0	"Wasserpfl. über Steinen ; 0.5 m ins Wasser schräge BW-Mauer"		0
11D	Witibach	598 700 / 226 150			wechselhaft m. Regen 50-80% W.	mehr Regen (Niesel-)	eher trocken	20.7.1997							0.5	0.5	0	0	25	?	5	5	5	0	30		60	0		5	0		0	0	95		5	0		0		0	?	2	1	4	95	1	1	80	15	0	0	0	0	5	0	0	5		2	0	0		100	0		0	16.6	7.8	277	9.4	102	0.08		***							1 Wasserkäfer & -läufer **				x			23	5	10	2	0	0	0	0	Brennesseln am Ufer -> eutroph		0
11E	Witibach	598 050 / 226 150			Hochnebel 100 % W., kalt 	?	trocken	18.10.1997							0.2	0.2	100	Steine D=30 cm 	100	"Steine; D=30cm"	5	5	0	0	80		0	0		0	20		0	0	80		0	0		0		20	0.15	3	2	3	20	0.7	2	50	20	0	0	0	20	0	10	0	5		4	0	80		0	0		20	11.7	?	545	11.9	115	0.15		***							Wasserkäfer *						x	21.3	10	25	2	0	0	0	0	Uferbefestigungs-Steine stark von Moos & höheren Pfl. überwuchert / natürliche 10 cm Schwellen		0
