SPECIES	INDNR	SIZE	EGGLEN	EGGWID	DEVTIME	CLUTCHSZ	LONGEV	EPD	PHATCH
1	101	1.05	0.82	0.2	16	69.5	23	10.6923076923077	0.384615384615385
1	124	1.0625	0.78	0.205	15	13	19	2.6	0.153846153846154
1	123	1.1125	 	 	15	45.6666666666667	25	7.21052631578947	0.692307692307692
1	122	1.125	 	 	15	49	27	3.26666666666667	0.40625
1	125	1.125	0.8375	0.21	15	60	12	8.57142857142857	0.777777777777778
1	126	1.1	0.82	0.205	14	37	18	7.4	0.709677419354839
1	127	1.0625	0.7375	0.2025	14	42	14	8.4	0.514285714285714
1	128	1.1	0.7525	0.195	15	43.5	27	6.21428571428572	0.756756756756757
1	129	0.875	0.775	0.205	15	31	23	6.2	0.452380952380952
1	1210	0.8125	0.755	0.2	15	35	21	7	0.566666666666667
1	102	1.1	0.75	0.1925	15	65	26	8.66666666666667	0.274509803921569
1	131	1.075	0.785	0.1975	15	40	15	16	0.35
1	154	0.9375	0.815	0.2275	15	44.5	28	14.8333333333333	0.0540540540540541
1	141	1.0625	0.73	0.23	14	49	20	9.8	0.961538461538462
1	142	1.075	0.7875	0.2125	15	60	21	12	0.745762711864407
1	143	1.025	0.7475	0.2175	15	43	11	8.6	0.741379310344828
1	144	1.0625	0.7575	0.205	15	38	8	7.6	0.326530612244898
1	145	1.125	0.755	0.205	14	9	17	1.8	0.555555555555556
1	146	1.1	0.7625	0.21	16	64	19	18.2857142857143	0.15
1	147	1.075	0.78	0.205	16	18	16	3.6	0.16
1	148	1.1375	0.7675	0.2	16	63	18	12.6	0.75
1	1211	1.1125	0.8525	0.2025	15	41	8	8.2	0.846153846153846
1	1212	1.0125	0.8025	0.23	15	29.5	23	7.375	0.363636363636364
1	1313	1.1375	0.8125	0.2	16	13	8	2.6	0.234042553191489
1	1314	1.0875	0.7375	0.2	16	13	7	2.6	1
1	1315	1	0.8275	0.2075	14	40	13	8	0.857142857142857
1	1413	1.05	0.745	0.2125	16	47	13	9.4	1
1	1414	1.1	0.7925	0.2125	15	41	10	8.2	0.785714285714286
1	1012	0.925	0.7525	0.195	14	34	10	6.8	0.583333333333333
2	121	0.8875	0.61	0.175	23	54.3333333333333	28	12.5384615384615	0.813559322033898
2	152	0.9	0.58	0.1725	21	59.25	16	21.5454545454545	0.652173913043478
2	103	1.0375	0.5775	0.17	24	44	22	8	0.538461538461538
2	104	0.925	0.6375	0.175	23	40.6666666666667	23	6.1	0.448275862068966
2	105	0.95	0.585	0.1575	24	70.5	24	23.5	0.484848484848485
2	106	1	0.5675	0.1725	22	78	10	31.2	0.75
2	107	0.875	0.58	0.1675	22	79.3333333333333	25	19.8333333333333	0.285714285714286
2	132	0.8625	0.5725	0.1675	21	53	16	9.63636363636364	0.588235294117647
2	133	0.9625	0.5825	0.165	22	57.6666666666667	26	14.4166666666667	0.371428571428571
2	134	0.725	0.5675	0.17	22	52	25	20.8	0.444444444444444
2	135	0.925	0.5725	0.1625	22	57	25	9.5	0.404761904761905
2	136	0.925	0.59	0.18	23	46.5	22	18.6	0.266666666666667
2	137	0.825	0.6	0.1825	23	48	24	16	0.342857142857143
2	138	0.9	0.62	0.1775	23	59	36	13.1111111111111	0.647058823529412
2	139	0.8875	0.6225	0.175	23	55.25	24	18.4166666666667	0.0714285714285714
2	1310	0.775	0.5825	0.1725	23	49.25	27	16.4166666666667	0.666666666666667
2	153	0.8875	0.5875	0.1875	21	56.25	21	17.3076923076923	0.5
2	155	0.9625	0.6	0.1725	22	59.2	23	12.3333333333333	0.5
2	156	0.8875	0.58	0.175	22	36	26	5.4	0.416666666666667
2	157	0.925	0.5975	0.1825	24	66.25	23	24.0909090909091	1
2	149	0.975	0.585	0.1875	24	51.3333333333333	25	30.8	0.916666666666667
2	1410	0.925	0.5975	0.17	23	66	18	28.2857142857143	1
2	1411	0.975	0.565	0.1725	22	48.5	24	32.3333333333333	0
2	1412	0.8	0.5925	0.18	22	64.75	27	23.5454545454545	0
2	108	0.975	0.5675	0.16	23	61.7142857142857	24	19.6363636363636	0
2	109	0.875	0.61	0.1875	24	59.1428571428572	22	18.8181818181818	0
2	1010	0.9125	0.59	0.1775	22	57.75	21	21	0
2	1011	0.9875	0.5925	0.1725	23	74.2857142857143	16	23.6363636363636	0
2	1311	0.8875	0.605	0.1625	22	48.2857142857143	21	15.3636363636364	0
2	1312	0.8875	0.575	0.175	22	65.6666666666667	14	19.7	0
3	1	1.15	0.92	0.25	18	79.5	20	8.69230769230769	0.384615384615385
3	2	1.1625	0.88	0.255	17	53	16	9.6	0.2581
3	3	1.2125	0.89	0.234	17	55.6666666666667	22	5.21052631578947	0.692307692307692
3	4	1.225	0.956	0.266	16	59	24	6.627	0.40625
3	5	1.225	0.9375	0.26	17	70	9	6.57142857142857	0.777777777777778
3	6	1.2	0.92	0.255	16	47	15	5.4	0.709677419354839
3	7	1.1625	0.8375	0.2525	16	52	11	6.4	0.514285714285714
3	8	1.2	0.8525	0.245	17	53.5	24	4.21428571428571	0.756756756756757
3	9	0.975	0.875	0.255	17	41	20	4.2	0.452380952380952
3	10	0.9125	0.855	0.25	17	45	18	5	0.566666666666667
3	11	1.21	0.85	0.2425	17	75	23	6.66666666666667	0.274509803921569
3	12	1.175	0.885	0.2475	17	50	12	14	0.35
3	13	1.14	0.915	0.2775	17	54.5	25	12.8333333333333	0.0540540540540541
3	14	1.1625	0.83	0.28	16	59	17	7.8	0.961538461538462
3	15	1.175	0.8875	0.2625	17	70	18	10	0.745762711864407
