NR	SEX	DICHTE	SIZE	SIZEKAT	FRESS1	FRESS2	FRESS3	FRESS4	PAUSE1	PAUSE2	PAUSE3
ne10    	1	8	2.84375	2	540	480	335	230	180	135	130
ne1     	1	8	2.5625	1	800	541	566	292	162	144	320
ne31    	1	8	2.96875	2	517	565	320	330	50	455	870
ne25    	1	8	3.0625	2	255	370	565	360	110	130	190
fe1     	1	8	2.75	2	405	155	375	415	15	955	1005
tru5    	1	8	2.875	2	526	433	424	436	291	570	433
ne21    	1	8	2.59375	1	840	440	730	470	80	40	460
ne24    	1	8	2.6875	1	685	260	525	630	35	40	495
ne15    	1	8	2.5	1	848	490	442	778	166	76	283
ne11    	1	8	2.625	1	840	840	520	780	260	430	120
ne19    	1	8	2.46875	1	830	610	1200	1245	545	165	1575
ne26    	1	24	2.75	2	421	488	10	45	41	224	555
tru22   	1	24	3.09375	2	80	25	45	45	380	340	620
ne32    	1	24	2.5625	1	590	246	435	96	10	151	100
ne7     	1	24	3.1875	2	240	450	360	165	230	840	365
ne13    	1	24	3	2	236	472	265	170	94	103	135
ne23    	1	24	2.6875	1	495	800	280	210	10	30	110
ne6     	1	24	2.75	2	404	319	180	317	15	7	40
ne2     	1	24	2.90625	2	500	370	465	325	10	60	75
ne20    	1	24	2.90625	2	545	305	455	405	11	10	20
ne14    	1	24	3	2	560	381	416	410	44	30	61
ne4     	1	24	2.90625	2	530	740	1040	440	35	60	65
tru17   	1	24	2.8125	2	219	673	244	450	63	183	560
ne5     	1	24	2.59375	1	913	578	325	522	167	82	50
fe26    	1	24	2.75	2	420	455	370	540	80	45	360
ne18    	1	24	2.84375	2	1410	825	810	660	15	30	240
fe20    	1	24	2.8125	2	660	540	520	790	80	90	360
fe30    	2	8	3.625	2	350	85	215	135	45	165	235
f3-11   	2	8	3.5	2	430	460	150	180	60	120	1670
fe1     	2	24	3.375	2	180	150	180	20	495	830	600
fe16    	2	24	3.53125	2	575	390	580	560	335	10	100
20w65225	1	8	2.96875	2	675	315	515	330	55	169	10
5w962253	1	8	1.96875	1	1220	1455	1390	360	270	320	360
5w311253	1	8	2.875	2	530	910	300	430	3	20	8
5w7324  	1	8	2.40625	1	835	605	245	435	25	570	85
5w773253	1	8	2.3125	1	830	915	360	510	15	20	80
10w27223	1	8	2.6875	1	1240	1072	1080	618	383	585	492
5w66223 	1	8	2.5	1	638	915	809	681	18	129	47
5w65    	1	8	2.46875	1	510	1835	850	700	15	330	735
5w961253	1	8	2	1	1080	741	735	721	102	65	63
5w751253	1	8	2.21875	1	960	992	1531	724	30	328	165
10w78222	1	8	2.8125	2	635	679	1016	727	18	5	116
5w632223	1	8	2.3125	1	1176	420	560	730	120	270	320
10w61253	1	8	2.6875	1	583	275	883	734	125	11	22
5w963253	1	8	1.9375	1	1680	960	1260	890	180	540	750
5w85253 	1	8	2.9375	2	1443	866	811	961	157	31	105
10w78223	1	8	2.8125	2	1117	568	789	987	112	25	541
5w62253 	1	8	2.40625	1	465	1020	360	1045	135	60	55
5w35    	1	8	2.84375	2	480	477	600	1065	3	60	73
20w61253	1	8	2.84375	2	210	800	1042	1115	90	52	1226
5w781253	1	8	2.40625	1	638	1200	525	1320	69	210	45
5w771223	1	8	2.34375	1	1664	1275	980	1720	147	133	55
5w822   	1	24	2.3125	1	1218	759	812	31	13	9	12
5w752253	1	24	2.46875	1	836	432	225	80	5	300	282
20w77225	1	24	3.0625	2	825	305	390	140	40	435	160
5w8724  	1	24	2.3125	1	480	315	300	165	15	60	45
10w63   	1	24	2.75	2	1225	610	540	180	60	100	50
5w771253	1	24	2.34375	1	2035	597	320	312	99	24	1861
10w77   	1	24	3.21875	2	564	820	589	322	128	25	516
5w62    	1	24	2.46875	1	1440	614	1065	380	5	8	170
10w85125	1	24	2.78125	2	1046	696	964	413	98	120	483
5w32253 	1	24	2.8125	2	680	250	720	420	98	36	50
20w76253	1	24	2.84375	2	333	487	620	453	5	13	11
20w77125	1	24	2.875	2	840	150	720	480	30	60	900
5w68223 	1	24	2.1875	1	935	775	489	535	100	20	56
20w822  	1	24	2.96875	2	600	550	550	571	10	19	20
20w62   	1	24	3.03125	2	540	420	620	630	25	30	15
5w63223 	1	24	2.3125	1	1305	690	850	650	210	105	110
5w83    	1	24	2.59375	1	740	760	680	650	50	80	20
20w78223	1	24	2.96875	2	1860	1140	480	660	30	150	120
20w88253	1	24	3	2	685	338	226	705	155	105	64
10w88253	1	24	2.625	1	965	961	609	721	5	265	391
10w86253	1	24	2.65625	1	675	945	595	740	15	10	5
5w782253	1	24	2.4375	1	750	630	60	840	60	90	90
20w68253	1	24	3	2	1350	541	733	912	39	5	6
20w82125	1	24	3	2	740	783	704	995	6	12	55
5w66253 	1	24	2.53125	1	937	915	385	1022	25	83	251
5w652253	1	24	2.34375	1	975	900	170	1125	5	25	135
5w642253	1	24	2.4375	1	1620	1080	960	1260	240	270	600
20w76225	2	8	3.875	2	263	454	295	45	40	25	450
10w78253	2	8	 	 	210	200	230	110	210	500	1720
20w82293	2	8	3.75	2	600	480	60	125	10	30	315
10w84   	2	8	3.28125	1	980	790	630	130	40	170	770
20w72223	2	8	3.53125	2	252	267	290	220	570	540	1000
20w78253	2	8	4	2	420	370	162	229	686	369	164
10w82253	2	8	3.125	1	425	660	355	290	125	100	355
20w78223	2	8	4	2	926	707	498	447	623	90	376
5w821   	2	8	2.5625	1	1500	1270	730	500	70	380	320
10w763  	2	8	3.25	1	558	707	728	610	42	24	95
5w53223 	2	8	3	1	944	839	391	614	206	66	789
10w62253	2	8	3.4375	2	1220	995	1150	780	55	104	60
5w68    	2	24	2.75	1	385	110	120	18	635	720	25
5w78223 	2	24	2.71875	1	840	368	50	90	1110	382	550
5w35253 	2	24	3	1	1010	696	236	116	10	104	138
5w68293 	2	24	2.75	1	1760	540	60	200	30	310	500
5w621293	2	24	2.8125	1	405	100	245	215	5	800	115
10w62293	2	24	3.4375	2	860	649	222	235	6	28	8
10w75253	2	24	3.34375	1	300	249	200	255	31	80	600
10w88293	2	24	3.1875	1	578	948	767	280	8	120	25
20w36223	2	24	3.46875	2	330	150	390	300	11	585	620
10w85225	2	24	3.25	1	828	439	243	306	21	11	56
5w35253 	2	24	2.875	1	836	554	469	407	28	312	400
5w823253	2	24	2.5625	1	888	571	186	455	185	144	1195
10w64293	2	24	3.25	1	938	620	532	577	60	27	276
10w76293	2	24	3.0625	1	850	1072	514	599	5	30	35
5w75293 	2	24	2.84375	1	485	845	595	625	30	33	50
   25.00	1	8	3.0625	2	630	450	390	195	115	380	10
   31.00	1	8	2.875	2	487	231	379	232	416	11	110
    2.00	1	8	3.0625	2	380	550	405	290	50	5	30
   17.00	1	8	2.875	2	148	506	439	323	10	47	26
   23.00	1	8	3	2	770	480	150	360	180	180	120
   47.00	1	8	2.5625	1	630	640	540	405	15	165	15
   50.00	1	8	2.875	2	740	550	705	480	105	450	330
   36.00	1	8	2.375	1	673	1180	552	485	5	10	48
    5.00	1	8	3.09375	2	424	463	632	492	66	5	220
   34.00	1	8	2.5	1	510	1175	1135	600	65	25	165
   21.00	1	8	2.65625	1	720	970	610	600	60	320	300
   15.00	1	8	2.96875	2	495	610	555	716	5	10	74
    7.00	1	8	2.9375	2	255	710	660	740	25	30	300
   32.00	1	8	2.53125	1	635	725	600	750	45	160	220
   43.00	1	8	2.875	2	840	1706	691	1324	9	9	629
   33.00	1	24	2.875	2	400	320	115	10	270	100	555
   22.00	1	24	2.875	2	660	120	85	15	700	305	40
   13.00	1	24	3.125	2	55	40	15	20	540	360	120
   48.00	1	24	2.46875	1	660	900	1275	40	30	30	15
    1.00	1	24	2.96875	2	705	430	440	80	20	15	35
   49.00	1	24	2.59375	1	645	470	105	345	5	5	15
   18.00	1	24	2.90625	2	510	570	535	355	10	95	5
   14.00	1	24	2.875	2	330	580	315	390	50	5	15
26      	1	24	3.03125	2	300	240	360	400	5	4	6
   53.00	1	24	2.625	1	690	220	218	440	20	7	10
   41.00	1	24	2.1875	1	650	920	795	460	10	5	300
   39.00	1	24	2.375	1	1560	690	780	460	180	30	400
   89.00	1	24	2.8125	2	600	360	450	465	90	45	290
   40.00	1	24	2.375	1	510	285	270	490	5	5	75
    6.00	1	24	3.0625	2	152	240	365	530	5	60	145
   52.00	1	24	2.78125	2	495	548	660	565	10	20	5
   45.00	1	24	2.84375	2	1009	695	522	710	15	26	42
    3.00	1	24	2.96875	2	670	453	54	750	110	21	90
   18.00	2	8	3.5	2	300	330	435	50	10	180	120
   22.00	2	8	3.59375	2	588	642	41	435	392	12	1113
   11.00	2	8	3.5	2	740	710	1040	480	355	480	170
35      	2	8	3.125	1	646	505	644	493	19	25	183
   16.00	2	8	3.5625	2	576	790	100	810	106	160	15
   12.00	2	24	3.625	2	540	535	255	130	90	30	15
   13.00	2	24	3.5	2	637	220	265	172	5	5	5
   17.00	2	24	3.78125	2	660	180	360	240	40	100	100
   61.00	2	24	3.4375	2	469	360	293	257	251	15	480
   20.00	2	24	3.125	1	930	420	430	300	3	500	325
   15.00	2	24	3.5625	2	365	320	270	390	105	190	250
   33.00	2	24	3.25	1	665	570	310	405	15	50	195
   19.00	2	24	3.4375	2	340	230	595	450	50	10	5
