Gattung Nummer GEWICHT FANGDATUM MAGENUMF
1 Oc 32 0.19 23.09.97 1.56
2 Oc 34 0.59 23.09.97 1.63
3 Oc 48 0.09 23.09.97 1.69
4 Oc 55 0.23 23.09.97 1.69
5 Oc 41 0.24 23.09.97 1.75
6 Oc 24 0.19 23.09.97 1.81
7 Oc 39 0.26 23.09.97 1.81
8 Oc 35 0.19 23.09.97 1.88
9 Oc 45 0.15 23.09.97 2
10 Oc 27 0.34 23.09.97 2.13
11 Oc 33 0.27 23.09.97 2.13
12 Oc 7 0.22 15.09.97 2.19
13 Oc 52 0.24 23.09.97 2.19
14 Oc 10 0.15 15.09.97 2.31
15 Oc 5 0.22 15.09.97 2.44
16 Oc 51 0.41 23.09.97 2.44
17 Oc 31 0.48 23.09.97 2.56
18 Oc 36 0.66 23.09.97 2.63
19 Oc 11 0.41 15.09.97 2.81
20 Oc 4 0.52 15.09.97 3
21 Oc 56 1.09 12.10.97 3.1
22 Oc 28 1.1 23.09.97 3.13
23 Oc 43 0.57 23.09.97 3.13
24 Oc 2 1.02 15.09.97 3.19
25 Oc 3 0.82 15.09.97 3.19
26 Oc 9 1.8 15.09.97 3.19
27 Oc 38 0.96 23.09.97 3.19
28 Oc 30 1.71 23.09.97 3.31
29 Oc 6 0.9 15.09.97 3.38
30 Oc 16 1.23 15.09.97 3.44
31 Oc 18 1 15.09.97 3.44
32 Oc 60 1.62 12.10.97 3.75
33 Oc 12 1.1 15.09.97 3.75
34 Oc 17 1.4 15.09.97 3.75
35 Oc 1 1.2 15.09.97 3.88
36 Oc 58 1.61 12.10.97 4.15
37 Oc 19 1.46 15.09.97 4.19
38 Oc 20 1.06 15.09.97 4.19
39 Oc 57 1.74 12.10.97 4.4
40 Oc 29 2.48 23.09.97 4.44
41 Oc 15 0.92 15.09.97 4.56
42 Oc 37 2.06 23.09.97 4.88
43 Oc 59 2.53 12.10.97 5.25
44 L 26 0.41 23.09.97 2.55
45 L 46 0.39 23.09.97 2.65
46 L 59 1.24 12.10.97 3.15
47 L 41 0.57 23.09.97 3.2
48 L 44 0.71 23.09.97 3.25
49 L 45 0.42 23.09.97 3.1
50 L 48 1.57 12.10.97 3.35
51 L 52 1.32 12.10.97 3.35
52 L 60 2.4 12.10.97 3.55
53 L 23 0.5 15.09.97 3.45
54 L 21 2.63 15.09.97 3.7
55 L 36 0.69 23.09.97 3.35
56 L 37 0.81 23.09.97 4
57 L 43 0.65 23.09.97 3.6
58 L 56 2.26 12.10.97 3.75
59 L 6 1.1 15.09.97 3.8
60 L 50 2.28 12.10.97 4.1
61 L 29 1.82 23.09.97 4
62 L 32 1.68 23.09.97 4.05
63 L 39 2.21 23.09.97 4.4
64 L 51 3.13 12.10.97 4.1
65 L 33 1.6 23.09.97 4.35
66 L 4 3.07 15.09.97 4.55
67 L 42 0.42 23.09.97 4.8
68 L 54 3.44 12.10.97 4.6
69 L 13 1.89 15.09.97 4.8
70 L 22 2.77 15.09.97 4.6
71 L 25 1.42 23.09.97 4.65
72 L 24 3.05 23.09.97 4.8
73 L 38 3.18 23.09.97 5.1
74 L 3 3.22 15.09.97 5.2
75 L 5 3.57 15.09.97 5.05
76 L 11 2.08 15.09.97 5.35
77 L 27 3.35 23.09.97 5.15
78 L 58 4.94 12.10.97 5.2
79 L 8 4.51 15.09.97 5.45
80 L 35 4.55 23.09.97 5.15
81 L 14 3.33 15.09.97 5.35
82 L 20 5.21 15.09.97 5.5
83 L 40 3.24 23.09.97 5.4
84 L 15 4.87 15.09.97 5.45
85 L 34 3.94 23.09.97 5.6
86 L 10 3.42 15.09.97 5.85
87 L 16 3.16 15.09.97 5.7
88 L 7 6.95 15.09.97 5.85
89 L 1 2.99 15.09.97 5.85
90 L 9 5.22 15.09.97 6.05
91 L 12 4.64 15.09.97 6.35
92 L 17 6.46 15.09.97 6.3
93 L 28 5.98 23.09.97 6.3
94 L 53 8.69 12.10.97 7.5
95 N 48 0.06 23.09.97 1.9
96 N 8 0.065 15.09.97 2.8
97 N 47 0.125 23.09.97 2.5
98 N 25 0.155 15.09.97 2.9
99 N 10 0.16 15.09.97 2.6
100 N 5 0.17 15.09.97 3.3
101 N 42 0.19 23.09.97 2.6
102 N 36 0.3 23.09.97 2.9
103 N 9 0.37 15.09.97 2.9
104 N 50 0.405 23.09.97 3.1
105 N 34 0.56 23.09.97 3.1
106 N 32 0.56 23.09.97 3.8
107 N 37 0.625 23.09.97 3
108 N 33 0.63 23.09.97 3.9
109 N 51 0.635 23.09.97 3.6
110 N 40 0.645 23.09.97 3.4
111 N 55 0.645 23.09.97 3.4
112 N 52 0.645 23.09.97 4.1
113 N 35 0.65 23.09.97 4.3
114 N 23 0.67 15.09.97 3.6
115 N 29 0.685 23.09.97 3.1
116 N 24 0.77 15.09.97 4.2
117 N 38 0.785 23.09.97 4
118 N 21 0.815 15.09.97 3.6
119 N 31 0.835 23.09.97 3.6
120 N 28 0.84 23.09.97 4.7
121 N 43 0.855 23.09.97 3.8
122 N 27 0.855 23.09.97 4.8
123 N 13 0.855 15.09.97 3.7
124 N 12 0.87 15.09.97 4.4
125 N 54 0.9 23.09.97 4.5
126 N 15 0.91 15.09.97 4.25
127 N 44 0.91 23.09.97 4
128 N 18 0.94 15.09.97 4.6
129 N 45 1.015 23.09.97 4.25
130 N 20 1.045 15.09.97 4.25
131 N 7 1.075 15.09.97 4.25
132 N 11 1.115 15.09.97 2.6
133 N 22 1.155 15.09.97 4.3
134 N 14 1.185 15.09.97 4.1
135 N 26 1.265 23.09.97 4.3
136 N 57 1.31 12.10.97 3.1
137 N 41 1.31 23.09.97 4.5
138 N 46 1.33 23.09.97 4.8
139 N 63 1.335 12.10.97 3.65
140 N 60 1.455 12.10.97 4.6
141 N 61 1.47 12.10.97 3.05
142 N 56 1.625 12.10.97 3.45
143 N 59 1.765 12.10.97 4
